Latitude  Longitude
45.0601325 7.656511667 
45.060092 7.656520167 
45.060047 7.656530167 
45.059998833 7.656541 
45.0599455 7.656553667 
45.059887 7.656569 
45.059827667 7.6565845 
45.059767333 7.656597333 
45.059707333 7.656594667 
45.059651833 7.656572 
45.059596833 7.656534 
45.059539167 7.656490167 
45.059476667 7.656443667 
45.05941 7.6563945 
45.059262167 7.656293 
45.059188 7.656238667 
45.059115 7.656185 
45.059041833 7.656131167 
45.0589685 7.656076 
45.058895833 7.6560205 
45.058818833 7.655965167 
45.0587455 7.655912 
45.058673333 7.655859 
45.058601833 7.655806 
45.058528 7.655756333 
45.058455333 7.655704333 
45.058385667 7.655653333 
45.058316667 7.6556035 
45.058256167 7.655558833 
45.058206 7.655521333 
45.058166833 7.655493667 
45.0581375 7.655471833 
45.058121167 7.6554595 
45.058113833 7.655452667 
45.0581085 7.655449333 
45.0581055 7.655447333 
45.058104667 7.655446667 
45.058103167 7.655446167 
45.058103 7.655446 
45.058101833 7.655444667 
45.058101 7.655443667 
45.0581 7.655442833 
45.0580985 7.6554425 
45.058096833 7.655441667 
45.058094667 7.655441 
45.058093833 7.655440167 
45.058092167 7.655438667 
45.0580895 7.6554365 
45.058087333 7.655435333 
45.0580855 7.655434 
45.058084167 7.655433667 
45.058082667 7.655433167 
45.058080667 7.655432167 
45.058073833 7.6554285 
45.058060333 7.655419 
45.058039 7.6554035 
45.058011333 7.655384667 
45.057980167 7.6553635 
45.057946167 7.655338833 
45.0579115 7.655313167 
45.0578715 7.65528 
45.057828167 7.6552335 
45.057782667 7.655173333 
45.057729 7.655110167 
45.057664667 7.65505 
45.0575955 7.654991833 
45.057521167 7.654937167 
45.0574435 7.654882833 
45.057364 7.6548285 
45.057280333 7.654770667 
45.0571985 7.654710833 
45.0571155 7.654651833 
45.057034167 7.6545975 
45.056952 7.654553167 
45.056873167 7.654542333 
45.056801667 7.654570833 
45.0567375 7.654627 
45.0566725 7.654686333 
45.056604833 7.654734167 
45.056531167 7.654761833 
45.056453333 7.654767833 
45.056371333 7.654759 
45.056282667 7.654744167 
45.056189833 7.654725167 
45.056094167 7.654705333 
45.055994667 7.654682 
45.055893 7.6546565 
45.0557885 7.654633167 
45.055682167 7.654611 
45.055576 7.654588667 
45.055469333 7.654566667 
45.055363167 7.654548833 
45.055257 7.654538167 
45.055150333 7.654533667 
45.055042167 7.654533333 
45.0549345 7.6545425 
45.054826167 7.6545575 
45.054721167 7.654552333 
45.05462 7.654561833 
45.054516333 7.654574833 
45.054417667 7.654585 
45.054319667 7.654592667 
45.0542255 7.6546075 
45.054142833 7.654627667 
45.054066667 7.654646333 
45.054001833 7.654664167 
45.05396 7.654674167 
45.053930667 7.654681667 
45.0539035 7.654687 
45.053899333 7.6546945 
45.0538945 7.654693833 
45.053896667 7.6546905 
45.053901333 7.654688333 
45.053905167 7.654687333 
45.053912 7.654684667 
45.053918167 7.6546835 
45.0539265 7.654681 
45.0539335 7.65468 
45.053945667 7.654677 
45.053956667 7.654673833 
45.053957667 7.654669 
45.053951167 7.654666167 
45.053947333 7.6546635 
45.053958167 7.654656833 
45.053957833 7.654654667 
45.0539545 7.654653667 
45.0539505 7.654653167 
45.0539355 7.654655167 
45.053931 7.654653167 
45.0539225 7.654653333 
45.053916833 7.654653167 
45.0539135 7.654651667 
45.053905833 7.654653 
45.053892667 7.654655833 
45.0538845 7.654661167 
45.053872167 7.6546655 
45.053864 7.6546675 
45.053855333 7.6546685 
45.053849833 7.6546695 
45.053842167 7.6546715 
45.053836333 7.654673333 
45.053835 7.654673833 
45.053830833 7.654673 
45.053827 7.6546725 
45.053822167 7.654672333 
45.0538045 7.654677833 
45.053797 7.654679667 
45.053790833 7.654678833 
45.053782667 7.654679167 
45.053782333 7.654678667 
45.053770833 7.654682667 
45.053765167 7.6546835 
45.053761333 7.654684167 
45.0537575 7.654681833 
45.053759 7.654679833 
45.053761333 7.654679 
45.053761333 7.654675 
45.053761333 7.654671333 
45.053763833 7.654667667 
45.053761167 7.6546665 
45.053754333 7.654668333 
45.053759 7.654663333 
45.0537605 7.6546605 
45.0537615 7.654658333 
45.053761333 7.654657333 
45.053763667 7.654655667 
45.053766667 7.6546525 
45.053769167 7.654648667 
45.0537695 7.654647167 
45.053775167 7.654646 
45.0537735 7.654646167 
45.053771167 7.654646833 
45.053754167 7.654657 
45.053750167 7.654660167 
45.0537545 7.6546585 
45.0537415 7.6546655 
45.053718333 7.654676167 
45.05371 7.654681 
45.0537 7.6546855 
45.053696167 7.654686833 
45.05369 7.654687167 
45.053678333 7.654692333 
45.053669 7.654695667 
45.0536535 7.654698333 
45.053615667 7.6547155 
45.053581667 7.654731667 
45.053544667 7.654751 
45.053505 7.6547695 
45.0534585 7.654788833 
45.0534135 7.65481 
45.053359 7.654849167 
45.0533005 7.654885 
45.053245667 7.654918833 
45.053197167 7.654957167 
45.0531695 7.6549885 
45.0531585 7.655011833 
45.0531525 7.655028833 
45.053150333 7.655041333 
45.053146167 7.655050667 
45.053133333 7.655066833 
45.05312130006854 7.655087874484906 
45.05311225698887 7.6551689457037355 
45.05306603677684 7.655228682387616 
45.053038096 7.655254065 
45.053010154790684 7.655279447984469 
45.052967451 7.655323539 
45.05292474770232 7.655367630713528 
45.052873540 7.655402399 
45.052822333 7.655437167 
45.0527865 7.655471333 
45.052745 7.655504 
45.0526975 7.655535 
45.052641 7.6555625 
45.052576 7.655584167 
45.052501 7.655598 
45.052420833 7.655592333 
45.052343667 7.655580833 
45.052270333 7.655554833 
45.0521995 7.655518667 
45.052132 7.655477167 
45.052073333 7.655439333 
45.052030833 7.655415 
45.051997833 7.655395667 
45.0519795 7.655380667 
45.051965667 7.655369 
45.0519535 7.655363333 
45.051950667 7.655363167 
45.0519495 7.655362333 
45.051949667 7.655363333 
45.051950833 7.655363333 
45.051952167 7.655362667 
45.051953333 7.655362 
45.051954167 7.655362333 
45.051954333 7.655362 
45.0519545 7.655361667 
45.051955667 7.655361833 
45.0519565 7.655362333 
45.051956667 7.655361833 
45.0519575 7.6553625 
